file,segment,rms_acc,rms_vel,damping_ratio,peak_vel,rms_pos,amplitude,zcr,rms,dominant_freq,inc_deg,inc_loc,damp,damp_loc,freq,freq_loc
G3_P5_case33.mat,3,0.552104124940751,0.795553133380539,0.000349016759441181,1.37895785718936,0.769275795515822,0.000341797631616704,0,0.552104124940751,31.2,0,0,1,6,0,0
G3_P5_case33.mat,4,0.554499817158986,0.799917009199312,-0.00191432997578175,1.38496809602411,0.773896415602781,0.000348297309101258,0,0.554499817158986,33.6,0,0,1,6,0,0
G3_P5_case33.mat,5,0.555450917744755,0.80073378454436,0.00629289571073443,1.38638577922272,0.775130799614229,0.000400505771178793,0,0.555450917744755,33.2,0,0,1,6,0,0
G3_P5_case33.mat,6,0.554854716560221,0.800205145969122,0.00373626088334328,1.38576246804581,0.774815285953171,0.000466910078059209,0,0.554854716560221,33.2,0,0,1,6,0,0
G3_P5_case33.mat,7,0.555946027984303,0.791331473997915,-0.00750952382657927,1.38676959677122,0.763195766813436,0.000940528786401922,0,0.555946027984303,32.8,0,0,1,6,0,0
G3_P5_case33.mat,8,0.564035996316782,0.774430461819436,-0.00180962013889483,1.35098572465062,0.747299100414737,0.00209070044604201,0.00166666666666667,0.564035996316782,33.6,0,0,1,6,0,0
G3_P5_case33.mat,9,0.552943141583801,0.797536892885901,-7.99216684070555e-05,1.38116645671909,0.771981234961773,0.000177033244424108,0,0.552943141583801,44,0,0,1,6,0,0
G3_P5_case33.mat,10,0.553843298890327,0.798510039474365,7.52154615628526e-05,1.38325044350906,0.772926477078365,0.000207882714397656,0,0.553843298890327,37.2,0,0,1,6,0,0
G3_P5_case33.mat,11,0.554653145731051,0.799119809763433,0.000626265194569296,1.38478915054586,0.773363199789734,0.000353524168330531,0,0.554653145731051,39.2,0,0,1,6,0,0
G3_P5_case33.mat,12,0.55473893017401,0.799294178123288,-0.00201207425245275,1.38448464881888,0.773009404953091,0.000553930721297942,0,0.55473893017401,32,0,0,1,6,0,0
G3_P5_case33.mat,13,0.555285289509091,0.800821308527958,0.000237233928287084,1.386942598579,0.77524502421703,0.000279209003346183,0,0.555285289509091,28.4,0,0,1,6,0,0
G3_P5_case33.mat,14,0.555429672952708,0.80067416880026,0.000988921032183929,1.38732562531491,0.774450102750393,0.000279040331428633,0,0.555429672952708,38.8,0,0,1,6,0,0
G3_P5_case33.mat,15,0.557922804813563,0.804975193688365,0.000424480668137635,1.38886007654156,0.779693990123864,0.000735191189884901,0,0.557922804813563,37.6,0,0,1,6,0,0
G3_P5_case33.mat,16,0.569607598436327,0.820994294020232,0.00200833215548323,1.41899717909465,0.792424381525294,0.000722794785507407,0,0.569607598436327,38.8,0,0,1,6,0,0
