file,segment,rms_acc,peak_acc,rms_vel,peak_vel,inc_deg,inc_loc,damp,damp_loc
G1_P5_case13.mat,2,0.133733046049999,0.31745649734248,0.129290256522705,0.220581559425043,0,0,1,4
G1_P5_case13.mat,3,0.118605657049021,0.233212511303905,0.127318108003692,0.220805723021448,0,0,1,4
G1_P5_case13.mat,4,0.111169575263064,0.146777203218785,0.127666985550356,0.220177959831089,0,0,1,4
G1_P5_case13.mat,5,0.110692292085197,0.151022328567791,0.126164713774029,0.218958340553107,0,0,1,4
G1_P5_case13.mat,6,0.110986756658496,0.157609195691369,0.12695344712327,0.219946693712636,0,0,1,4
G1_P5_case13.mat,7,0.113029361622386,0.164069119576503,0.128272970652153,0.223332467790802,0,0,1,4
G1_P5_case13.mat,8,0.103611267892599,0.184655429565213,0.12185479164341,0.19220446949762,0,0,1,4
G1_P5_case13.mat,9,0.179482384104547,0.748648127822051,0.141503425793285,0.256531597635336,0,0,1,4
G1_P5_case13.mat,10,0.110003902137678,0.131408350503957,0.126379913481648,0.219524339355241,0,0,1,4
G1_P5_case13.mat,11,0.110628162536795,0.15152692262464,0.127272072478079,0.220376388602206,0,0,1,4
G1_P5_case13.mat,12,0.114568684366421,0.177111721630261,0.127581489941053,0.221541411123806,0,0,1,4
G1_P5_case13.mat,13,0.120872198816561,0.225513859340301,0.128723918140016,0.223108358982922,0,0,1,4
G1_P5_case13.mat,14,0.13861209770242,0.310666006374551,0.132908034922012,0.234250106237434,0,0,1,4
G1_P5_case13.mat,15,0.218692384452021,1,0.129136697118955,0.231561148745375,0,0,1,4
G1_P5_case13.mat,16,0.116044934289675,0.16457542002168,0.132726654751829,0.229485863591149,0,0,1,4
G1_P5_case13.mat,17,0.116956470616319,0.162284707619138,0.133888994295044,0.23171011553288,0,0,1,4
G1_P5_case13.mat,18,0.121591596542369,0.257049265205413,0.135203010132006,0.234772429138836,0,0,1,4
G1_P5_case13.mat,19,0.18088240871933,0.460727488017223,0.139990061948854,0.238526714173441,0,0,1,4
G2_P5_case22.mat,1,0.16580416583147,0.517671523776168,0.059014735813483,0.142623479711618,2,5,0,0
G2_P5_case22.mat,2,0.119171396393525,0.314433520205726,0.0824948267963293,0.148318676346655,2,5,0,0
G2_P5_case22.mat,3,0.0936436459473226,0.233357457932438,0.088125374458808,0.150750721391361,2,5,0,0
G2_P5_case22.mat,4,0.0795050302844829,0.137142798150069,0.0885025870554861,0.152866110958804,2,5,0,0
G2_P5_case22.mat,5,0.0753800615674327,0.119656511610143,0.0849715358052215,0.146351988777164,2,5,0,0
G2_P5_case22.mat,6,0.0754425509897508,0.118636465466714,0.0822920319028748,0.144032734487863,2,5,0,0
G2_P5_case22.mat,7,0.0753764011946995,0.123417167909597,0.0850546125787389,0.147650996733083,2,5,0,0
G2_P5_case22.mat,8,0.0988112209042768,0.269941468044714,0.087106477240682,0.171823140621224,2,5,0,0
G2_P5_case22.mat,9,0.192963350995108,1,0.0765554827026968,0.122057322680046,2,5,0,0
G2_P5_case22.mat,10,0.0808883951130698,0.253463753153045,0.0883730839160873,0.153390511877409,2,5,0,0
G2_P5_case22.mat,11,0.0789076424991039,0.14474409362032,0.090615620968924,0.156042485627134,2,5,0,0
G2_P5_case22.mat,12,0.0764604396157016,0.110935696546679,0.0874946164286448,0.151071505418593,2,5,0,0
G2_P5_case22.mat,13,0.0824501053246493,0.178388820668247,0.0858933129300028,0.149777591872685,2,5,0,0
G2_P5_case22.mat,14,0.114515898728457,0.616789062899289,0.0870690121406103,0.153508960560595,2,5,0,0
G2_P5_case22.mat,15,0.117264511425283,0.674154100990676,0.0811851302161472,0.140099592139753,2,5,0,0
G2_P5_case22.mat,16,0.0755050109720505,0.166270593385172,0.084146386400378,0.146035102237753,2,5,0,0
G2_P5_case22.mat,17,0.0712721755006941,0.11706380733978,0.0798329121413277,0.138664655533008,2,5,0,0
G2_P5_case22.mat,18,0.0747984349784652,0.191809456500032,0.0813701882760415,0.13815939933951,2,5,0,0
G2_P5_case22.mat,19,0.165744715377406,0.446840055009613,0.0912074795278298,0.147157745363915,2,5,0,0
G2_P5_case23.mat,1,0.14606241024026,0.52743809465157,0.0619921798345029,0.107192449658536,0,0,1,5
G2_P5_case23.mat,2,0.0941238282926026,0.277916000963894,0.0250303096060183,0.0432861359427258,0,0,1,5
G2_P5_case23.mat,3,0.0648022811217323,0.296478017200815,0.0286006891329246,0.050991953915092,0,0,1,5
