file,segment,rms_acc,peak_acc,rms_vel,peak_vel,rms_pos,peak_pos,zcr,energy_decay_rate,damping_ratio,dominant_freq,inc_deg,inc_loc,damp,damp_loc
G3_P5_case32.mat,7,0.370439720684097,0.386710664612752,0.427276840506533,0.740034076136613,0.330872695386852,0.739218057710865,0,0.000627787731303383,0.00243805727865707,0,3,4,0,0
G3_P5_case32.mat,8,0.36433888452096,0.410376552781713,0.42376529411311,0.727230590500541,0.329034214640081,0.733802060102338,0,0.00158375820792579,-0.00686700152708003,0,3,4,0,0
G3_P5_case32.mat,9,0.38376243826861,0.828146141497798,0.434146970090147,0.753238049935555,0.332375248805099,0.746527428799001,0.00208333333333333,0.00434116266849956,-0.00428214686663462,0,3,4,0,0
G3_P5_case32.mat,10,0.369304090531333,0.386856754495511,0.425996631575792,0.737815813393423,0.329803608400788,0.736902061099612,0,0.000242040807533907,-0.000118743626510215,0,3,4,0,0
G3_P5_case32.mat,11,0.370050907493525,0.380732070232247,0.426956416584661,0.739306207101116,0.330474473260824,0.73847678874303,0,0.000377340335452747,-0.000261466740203361,0,3,4,0,0
G3_P5_case32.mat,12,0.369591822632702,0.398578307833568,0.426342771849121,0.7381381399221,0.33001477660014,0.737432052982315,0,0.00157608520275326,-0.00279352259871343,0,3,4,0,0
G3_P5_case32.mat,13,0.371162821040017,0.415879922451626,0.427880088767547,0.740819697618876,0.331340163770786,0.74023114467492,0,0.00272357237245051,-0.00214700211002475,0,3,4,0,0
G3_P5_case32.mat,14,0.373311557938475,0.45758608816617,0.427580261536177,0.743311819962685,0.330798448620008,0.739425117581233,0,0.00434222190671653,-0.00391341285624968,0,3,4,0,0
G3_P5_case32.mat,15,0.39420692962058,1,0.390110488137196,0.681682521039964,0.303321434766227,0.675937789453102,0.0104166666666667,0.0111680317077191,-0.0159681429684349,0,3,4,0,0
G3_P5_case32.mat,16,0.371540967384062,0.397334690220842,0.428931827899328,0.742198345679009,0.332320055900406,0.742211029709005,0,0.00091359851198617,-0.00131244792257624,0,3,4,0,0
G3_P5_case32.mat,17,0.371456171262213,0.386251416479616,0.42840164623388,0.742019865443125,0.331526580244493,0.740910626389013,0,0.00081706493025303,-0.00394251835143019,0,3,4,0,0
G3_P5_case32.mat,18,0.371841180263909,0.438474401408253,0.428326912584204,0.742525571929346,0.331613449042819,0.740943371214886,0,0.000941480663050211,0.00280229487460222,0,3,4,0,0
G3_P5_case32.mat,19,0.377689296443463,0.542270819228958,0.430038946218563,0.745748338397336,0.336200597597731,0.747774151080735,0,0.00436890642666848,-0.0402122374724027,0,3,4,0,0
G4_P5_case42.mat,1,0.132004812783965,0.366951790699496,0.0438575630021143,0.10792152582384,0.0132175646388637,0.0462220244647455,0.0197916666666667,0.00260128680023012,-0.00867458591190254,0.5,4,5,0,0
G4_P5_case42.mat,2,0.0939713078219979,0.257437127086346,0.059163021989279,0.105018624814534,0.0457501749628808,0.102378976670267,0.0479166666666667,0.0016131541731413,0.166844221316274,0,4,5,0,0
G4_P5_case42.mat,3,0.0726931144557699,0.192620672835802,0.0668040647849495,0.112930686086512,0.0540317183267083,0.118041660689309,0.0177083333333333,0.000817086036160552,0.0994425986618881,0,4,5,0,0
G4_P5_case42.mat,4,0.0559204158625259,0.105407577421213,0.0614374436301138,0.105828701229129,0.0475185272210683,0.106184679270198,0,0.000375951635621039,0.0643779903470945,0,4,5,0,0
G4_P5_case42.mat,5,0.0515500094665884,0.102779151851977,0.0550138738294824,0.0969917078428702,0.042012300092792,0.0945649623587173,0.00208333333333333,0.000332846800225995,-0.0785300639850379,0,4,5,0,0
G4_P5_case42.mat,6,0.0536482638125403,0.0870935440073968,0.0604721018249792,0.103825723669906,0.0470595364530637,0.104815075614533,0,0.000228450491043651,-0.053201433956553,0,4,5,0,0
G4_P5_case42.mat,7,0.0535729160857393,0.094442881489696,0.057874698603354,0.0995403724200385,0.044605625443445,0.0999048578600923,0.00208333333333333,0.000213966117884247,-0.100638356098112,0,4,5,0,0
G4_P5_case42.mat,8,0.076514953348617,0.191412866752051,0.0671414062680676,0.134321678063249,0.0488557154588429,0.113314076258419,0.00625,0.000811185321468901,0.0123860070222667,0,4,5,0,0
G4_P5_case42.mat,9,0.194526205775462,1,0.0422928816854336,0.0689426280355449,0.0414360212982292,0.0794830114718605,0.03125,0.00716217043615594,-0.0847200754272782,8,4,5,0,0
G4_P5_case42.mat,10,0.0547955853017096,0.138911133611603,0.0611643240044789,0.105973343208091,0.0471922856385506,0.105639484456669,0.00208333333333333,0.000152301979774336,0.00158233979181403,0,4,5,0,0
G4_P5_case42.mat,11,0.0538781830153008,0.102156836776799,0.0608565357954555,0.105274410535147,0.0470352131704781,0.105196419829382,0,0.000177657821323717,0.00693508356125135,0,4,5,0,0
G4_P5_case42.mat,12,0.0528242802565487,0.100996979310481,0.0589978780298606,0.101921771033409,0.0458497185305186,0.102211026870183,0.00208333333333333,0.000276953407304895,-0.028108928845593,0,4,5,0,0
G4_P5_case42.mat,13,0.059349978500132,0.12410778915853,0.057767195020543,0.101304652452126,0.0442329972121368,0.0994212206110096,0.0229166666666667,0.000649121741021257,0.0140760161555709,0,4,5,0,0
G4_P5_case42.mat,14,0.125112383360926,0.544884835707419,0.0532774048225164,0.0934714503858113,0.040923314022578,0.0918969800559379,0.0645833333333333,0.00393936207512236,0.318305288813818,19.5,4,5,0,0
